/opt/gap_sdk/tools/runner/run_gapuino.sh -v 1


[32m          ,ad8888ba,        db        88888888ba  [0m ad88888ba   
[32m         d8"'    `"8b      d88b       88      "8b[0m d8"     "8b  
[32m        d8'               d8'`8b      88      ,8P[0m Y8a     a8P  
[32m        88               d8'  `8b     88aaaaaa8P' [0m "Y8aaa8P"   
[32m        88      88888   d8YaaaaY8b    88""""""'  [0m  ,d8"""8b,   
[32m        Y8,        88  d8""""""""8b   88       [0m   d8"     "8b  
[32m         Y8a.    .a88 d8'        `8b  88        [0m  Y8a     a8P  
[32m          `"Y88888P" d8'          `8b 88         [0m  "Y88888P"   [0m

---------------------------------GAPUINO------------------------------------

Cable state change connected
Bridge init - log level 0
FC Frequency: 154009 kHz - Voltage: 1200 mV
Done generating 10k items table for seed = 10
run,freq,success,fail,total,time
0,190000000,1000000,0,1000000,2227
1,190000000,1000000,0,1000000,2154
2,190000000,1000000,0,1000000,2172
3,190000000,1000000,0,1000000,2152
4,190000000,1000000,0,1000000,2041
5,190000000,1000000,0,1000000,2104
6,190000000,1000000,0,1000000,2186
7,190000000,1000000,0,1000000,2006
8,190000000,1000000,0,1000000,2149
9,190000000,1000000,0,1000000,2110
10,190000000,1000000,0,1000000,2172
11,190000000,1000000,0,1000000,2085
12,190000000,1000000,0,1000000,2002
13,190000000,1000000,0,1000000,2100
14,190000000,1000000,0,1000000,2189
15,190000000,1000000,0,1000000,2205
16,190000000,1000000,0,1000000,1938
17,190000000,1000000,0,1000000,2106
18,190000000,1000000,0,1000000,2191
19,190000000,1000000,0,1000000,2131
20,190000000,1000000,0,1000000,2094
21,190000000,1000000,0,1000000,2012
22,190000000,1000000,0,1000000,2186
23,190000000,1000000,0,1000000,2207
24,190000000,1000000,0,1000000,2001
25,190000000,1000000,0,1000000,2082
26,190000000,1000000,0,1000000,2087
27,190000000,1000000,0,1000000,2158
28,190000000,1000000,0,1000000,2095
29,190000000,1000000,0,1000000,2092
30,190000000,1000000,0,1000000,2155
31,190000000,1000000,0,1000000,2083
32,190000000,1000000,0,1000000,2105
33,190000000,1000000,0,1000000,2116
34,190000000,1000000,0,1000000,2099
35,190000000,1000000,0,1000000,1957
36,190000000,1000000,0,1000000,1948
37,190000000,1000000,0,1000000,2045
38,190000000,1000000,0,1000000,2069
39,190000000,1000000,0,1000000,1959
40,190000000,1000000,0,1000000,1937
41,190000000,1000000,0,1000000,1973
42,190000000,1000000,0,1000000,2164
43,190000000,1000000,0,1000000,2193
44,190000000,1000000,0,1000000,2130
45,190000000,1000000,0,1000000,2133
46,190000000,1000000,0,1000000,2065
47,190000000,1000000,0,1000000,2169
48,190000000,1000000,0,1000000,2102
49,190000000,1000000,0,1000000,2219
50,190000000,1000000,0,1000000,2093
51,190000000,1000000,0,1000000,2097
52,190000000,1000000,0,1000000,2194
53,190000000,1000000,0,1000000,2109
54,190000000,1000000,0,1000000,2119
55,190000000,1000000,0,1000000,2112
56,190000000,1000000,0,1000000,2205
57,190000000,1000000,0,1000000,2145
58,190000000,1000000,0,1000000,2116
59,190000000,1000000,0,1000000,2056
60,190000000,1000000,0,1000000,1952
61,190000000,1000000,0,1000000,2074
62,190000000,1000000,0,1000000,2091
63,190000000,1000000,0,1000000,1962
64,190000000,1000000,0,1000000,1949
65,190000000,1000000,0,1000000,1938
66,190000000,1000000,0,1000000,1923
67,190000000,1000000,0,1000000,1928
