    CC  test.c
riscv32-unknown-elf-objdump -D /home/diego/workspace/gapuino-tests/ttf-continuous-mbedos/BUILD/GAP8/GCC_RISCV/test > /home/diego/workspace/gapuino-tests/ttf-continuous-mbedos/BUILD/GAP8/GCC_RISCV/test.s
/opt/gap_sdk/tools/runner/run_gapuino.sh -v 1


[32m          ,ad8888ba,        db        88888888ba  [0m ad88888ba   
[32m         d8"'    `"8b      d88b       88      "8b[0m d8"     "8b  
[32m        d8'               d8'`8b      88      ,8P[0m Y8a     a8P  
[32m        88               d8'  `8b     88aaaaaa8P' [0m "Y8aaa8P"   
[32m        88      88888   d8YaaaaY8b    88""""""'  [0m  ,d8"""8b,   
[32m        Y8,        88  d8""""""""8b   88       [0m   d8"     "8b  
[32m         Y8a.    .a88 d8'        `8b  88        [0m  Y8a     a8P  
[32m          `"Y88888P" d8'          `8b 88         [0m  "Y88888P"   [0m

---------------------------------GAPUINO------------------------------------

Cable state change connected
Bridge init - log level 0
FC Frequency: 148537 kHz - Voltage: 1200 mV
Done generating 10k items table for seed = 10
run,freq,success,fail,total,time
0,205000000,1000000,0,1000000,1936
1,205000000,1000000,0,1000000,1921
2,205000000,1000000,0,1000000,1937
3,205000000,1000000,0,1000000,1964
4,205000000,1000000,0,1000000,1913
5,205000000,1000000,0,1000000,1961
6,205000000,1000000,0,1000000,1930
7,205000000,1000000,0,1000000,1986
8,205000000,1000000,0,1000000,1953
9,205000000,1000000,0,1000000,1950
10,205000000,1000000,0,1000000,1926
11,205000000,1000000,0,1000000,2039
12,205000000,1000000,0,1000000,1898
13,205000000,1000000,0,1000000,1907
14,205000000,1000000,0,1000000,1901
15,205000000,1000000,0,1000000,1944
16,205000000,1000000,0,1000000,1897
17,205000000,1000000,0,1000000,1916
18,205000000,1000000,0,1000000,1887
19,205000000,1000000,0,1000000,1884
20,205000000,1000000,0,1000000,2020
21,205000000,1000000,0,1000000,1896
22,205000000,1000000,0,1000000,1905
23,205000000,1000000,0,1000000,1935
24,205000000,1000000,0,1000000,1931
25,205000000,1000000,0,1000000,2023
26,205000000,1000000,0,1000000,2007
27,205000000,1000000,0,1000000,1943
28,205000000,1000000,0,1000000,1949
29,205000000,1000000,0,1000000,1993
30,205000000,1000000,0,1000000,1946
31,205000000,1000000,0,1000000,2056
32,205000000,1000000,0,1000000,1984
33,205000000,1000000,0,1000000,1938
34,205000000,1000000,0,1000000,2027
35,205000000,1000000,0,1000000,1931
36,205000000,1000000,0,1000000,1950
37,205000000,1000000,0,1000000,1953
38,205000000,1000000,0,1000000,1928
39,205000000,1000000,0,1000000,1962
40,205000000,1000000,0,1000000,1971
41,205000000,1000000,0,1000000,1936
42,205000000,1000000,0,1000000,1957
43,205000000,1000000,0,1000000,1897
44,205000000,1000000,0,1000000,2039
45,205000000,1000000,0,1000000,1899
46,205000000,1000000,0,1000000,1904
47,205000000,1000000,0,1000000,1965
48,205000000,1000000,0,1000000,1931
49,205000000,1000000,0,1000000,1936
50,205000000,1000000,0,1000000,1988
51,205000000,1000000,0,1000000,1912
52,205000000,1000000,0,1000000,2054
53,205000000,1000000,0,1000000,2007
54,205000000,1000000,0,1000000,1927
55,205000000,1000000,0,1000000,1925
56,205000000,1000000,0,1000000,1920
57,205000000,1000000,0,1000000,1928
58,205000000,1000000,0,1000000,1913
59,205000000,1000000,0,1000000,1898
60,205000000,1000000,0,1000000,2012
61,205000000,1000000,0,1000000,1950
62,205000000,1000000,0,1000000,1938
63,205000000,1000000,0,1000000,1946
64,205000000,1000000,0,1000000,1966
65,205000000,1000000,0,1000000,1983
66,205000000,1000000,0,1000000,1934
67,205000000,1000000,0,1000000,1941
68,205000000,1000000,0,1000000,1934
69,205000000,1000000,0,1000000,1914
70,205000000,1000000,0,1000000,1960
71,205000000,1000000,0,1000000,1904
72,205000000,1000000,0,1000000,1905
73,205000000,1000000,0,1000000,1900
74,205000000,1000000,0,1000000,1906
75,205000000,1000000,0,1000000,1997
76,205000000,1000000,0,1000000,1890
77,205000000,1000000,0,1000000,1938
78,205000000,1000000,0,1000000,2003
79,205000000,1000000,0,1000000,1885
80,205000000,1000000,0,1000000,1962
81,205000000,1000000,0,1000000,1976
82,205000000,1000000,0,1000000,2091
83,205000000,1000000,0,1000000,2010
84,205000000,1000000,0,1000000,2028
85,205000000,1000000,0,1000000,2035
86,205000000,1000000,0,1000000,2025
87,205000000,1000000,0,1000000,2045
88,205000000,1000000,0,1000000,1967
89,205000000,1000000,0,1000000,2092
90,205000000,1000000,0,1000000,2084
91,205000000,1000000,0,1000000,1888
92,205000000,1000000,0,1000000,1900
93,205000000,1000000,0,1000000,1961
94,205000000,1000000,0,1000000,1961
95,205000000,1000000,0,1000000,1919
96,205000000,1000000,0,1000000,2022
97,205000000,1000000,0,1000000,1907
98,205000000,1000000,0,1000000,2026
99,205000000,1000000,0,1000000,1951
0,210000000,1000000,0,1000000,1958
1,210000000,1000000,0,1000000,2054
2,210000000,1000000,0,1000000,2051
3,210000000,1000000,0,1000000,2021
4,210000000,1000000,0,1000000,2040
5,210000000,1000000,0,1000000,1992
6,210000000,1000000,0,1000000,1990
7,210000000,1000000,0,1000000,1950
8,210000000,1000000,0,1000000,2008
9,210000000,1000000,0,1000000,1963
10,210000000,1000000,0,1000000,1975
11,210000000,1000000,0,1000000,2062
12,210000000,1000000,0,1000000,2073
13,210000000,1000000,0,1000000,1987
14,210000000,1000000,0,1000000,1946
15,210000000,1000000,0,1000000,1972
16,210000000,1000000,0,1000000,2108
17,210000000,1000000,0,1000000,1954
18,210000000,1000000,0,1000000,1974
19,210000000,1000000,0,1000000,2076
20,210000000,1000000,0,1000000,1970
21,210000000,1000000,0,1000000,1960
22,210000000,1000000,0,1000000,1931
23,210000000,1000000,0,1000000,2024
24,210000000,1000000,0,1000000,1967
25,210000000,1000000,0,1000000,1954
26,210000000,1000000,0,1000000,1952
27,210000000,1000000,0,1000000,1968
28,210000000,1000000,0,1000000,1944
29,210000000,1000000,0,1000000,1947
30,210000000,1000000,0,1000000,1957
31,210000000,1000000,0,1000000,1900
32,210000000,1000000,0,1000000,1959
33,210000000,1000000,0,1000000,1938
34,210000000,1000000,0,1000000,2069
35,210000000,1000000,0,1000000,1904
36,210000000,1000000,0,1000000,1952
37,210000000,1000000,0,1000000,1932
38,210000000,1000000,0,1000000,1956
39,210000000,1000000,0,1000000,1953
40,210000000,1000000,0,1000000,1935
41,210000000,1000000,0,1000000,1968
42,210000000,1000000,0,1000000,1935
43,210000000,1000000,0,1000000,1981
44,210000000,1000000,0,1000000,1962
45,210000000,1000000,0,1000000,1980
46,210000000,1000000,0,1000000,1930
47,210000000,1000000,0,1000000,1931
48,210000000,1000000,0,1000000,1948
49,210000000,1000000,0,1000000,1944
50,210000000,1000000,0,1000000,1934
51,210000000,1000000,0,1000000,1956
52,210000000,1000000,0,1000000,1959
53,210000000,1000000,0,1000000,1966
54,210000000,1000000,0,1000000,1950
55,210000000,1000000,0,1000000,1962
56,210000000,1000000,0,1000000,1945
57,210000000,1000000,0,1000000,1928
58,210000000,1000000,0,1000000,1949
59,210000000,1000000,0,1000000,1958
60,210000000,1000000,0,1000000,1931
61,210000000,1000000,0,1000000,1946
62,210000000,1000000,0,1000000,1904
63,210000000,1000000,0,1000000,1947
64,210000000,1000000,0,1000000,2041
65,210000000,1000000,0,1000000,1959
66,210000000,1000000,0,1000000,2005
67,210000000,1000000,0,1000000,1975
68,210000000,1000000,0,1000000,1996
69,210000000,1000000,0,1000000,1949
70,210000000,1000000,0,1000000,1962
71,210000000,1000000,0,1000000,1956
72,210000000,1000000,0,1000000,2084
73,210000000,1000000,0,1000000,1965
74,210000000,1000000,0,1000000,1946
75,210000000,1000000,0,1000000,1978
76,210000000,1000000,0,1000000,2031
77,210000000,1000000,0,1000000,2094
78,210000000,1000000,0,1000000,1967
79,210000000,1000000,0,1000000,2015
80,210000000,1000000,0,1000000,2013
81,210000000,1000000,0,1000000,2053
82,210000000,1000000,0,1000000,2008
83,210000000,1000000,0,1000000,2088
84,210000000,1000000,0,1000000,2070
85,210000000,1000000,0,1000000,2074
86,210000000,1000000,0,1000000,2063
87,210000000,1000000,0,1000000,2054
88,210000000,1000000,0,1000000,2035
89,210000000,1000000,0,1000000,2012
90,210000000,1000000,0,1000000,2008
91,210000000,1000000,0,1000000,1998
92,210000000,1000000,0,1000000,1963
93,210000000,1000000,0,1000000,1916
94,210000000,1000000,0,1000000,1955
95,210000000,1000000,0,1000000,1935
96,210000000,1000000,0,1000000,1949
97,210000000,1000000,0,1000000,1944
98,210000000,1000000,0,1000000,1858
99,210000000,1000000,0,1000000,1872
0,215000000,1000000,0,1000000,1821
1,215000000,1000000,0,1000000,1839
2,215000000,1000000,0,1000000,1868
3,215000000,1000000,0,1000000,1834
4,215000000,1000000,0,1000000,1937
5,215000000,1000000,0,1000000,1937
6,215000000,1000000,0,1000000,1859
7,215000000,1000000,0,1000000,1871
8,215000000,1000000,0,1000000,1840
9,215000000,1000000,0,1000000,1946
10,215000000,1000000,0,1000000,1948
11,215000000,1000000,0,1000000,1913
12,215000000,1000000,0,1000000,1939
13,215000000,1000000,0,1000000,1929
14,215000000,1000000,0,1000000,1855
15,215000000,1000000,0,1000000,1886
16,215000000,1000000,0,1000000,1826
17,215000000,1000000,0,1000000,1936
18,215000000,1000000,0,1000000,1956
19,215000000,1000000,0,1000000,1925
20,215000000,1000000,0,1000000,1955
21,215000000,1000000,0,1000000,1836
22,215000000,1000000,0,1000000,1961
23,215000000,1000000,0,1000000,1958
24,215000000,1000000,0,1000000,1968
25,215000000,1000000,0,1000000,1948
26,215000000,1000000,0,1000000,1941
27,215000000,1000000,0,1000000,1925
28,215000000,1000000,0,1000000,1996
29,215000000,1000000,0,1000000,1919
30,215000000,1000000,0,1000000,1961
31,215000000,1000000,0,1000000,2016
32,215000000,1000000,0,1000000,1922
33,215000000,1000000,0,1000000,1926
34,215000000,1000000,0,1000000,1931
35,215000000,1000000,0,1000000,1915
36,215000000,1000000,0,1000000,1936
37,215000000,1000000,0,1000000,1986
38,215000000,1000000,0,1000000,1928
39,215000000,1000000,0,1000000,2023
40,215000000,1000000,0,1000000,2014
41,215000000,1000000,0,1000000,1990
42,215000000,1000000,0,1000000,2047
43,215000000,1000000,0,1000000,1955
44,215000000,1000000,0,1000000,1956
45,215000000,1000000,0,1000000,1964
46,215000000,1000000,0,1000000,2027
47,215000000,1000000,0,1000000,2005
48,215000000,1000000,0,1000000,1939
49,215000000,1000000,0,1000000,1983
50,215000000,1000000,0,1000000,1910
51,215000000,1000000,0,1000000,1983
52,215000000,1000000,0,1000000,1956
53,215000000,1000000,0,1000000,2012
54,215000000,1000000,0,1000000,1945
55,215000000,1000000,0,1000000,1988
56,215000000,1000000,0,1000000,2071
57,215000000,1000000,0,1000000,2002
58,215000000,1000000,0,1000000,1974
59,215000000,1000000,0,1000000,1998
60,215000000,1000000,0,1000000,2072
61,215000000,1000000,0,1000000,2004
62,215000000,1000000,0,1000000,2014
63,215000000,1000000,0,1000000,2020
64,215000000,1000000,0,1000000,2090
65,215000000,1000000,0,1000000,2039
66,215000000,1000000,0,1000000,2064
67,215000000,1000000,0,1000000,2008
68,215000000,1000000,0,1000000,2069
69,215000000,1000000,0,1000000,1953
70,215000000,1000000,0,1000000,2056
71,215000000,1000000,0,1000000,2043
72,215000000,1000000,0,1000000,2035
73,215000000,1000000,0,1000000,2026
74,215000000,1000000,0,1000000,2003
75,215000000,1000000,0,1000000,2006
76,215000000,1000000,0,1000000,1994
77,215000000,1000000,0,1000000,2017
78,215000000,1000000,0,1000000,1957
79,215000000,1000000,0,1000000,1953
80,215000000,1000000,0,1000000,1952
81,215000000,1000000,0,1000000,2003
82,215000000,1000000,0,1000000,2029
83,215000000,1000000,0,1000000,1974
84,215000000,1000000,0,1000000,2044
85,215000000,1000000,0,1000000,2069
86,215000000,1000000,0,1000000,2075
87,215000000,1000000,0,1000000,2085
88,215000000,1000000,0,1000000,2078
89,215000000,1000000,0,1000000,2067
90,215000000,1000000,0,1000000,2098
91,215000000,1000000,0,1000000,2071
92,215000000,1000000,0,1000000,2093
93,215000000,1000000,0,1000000,2087
94,215000000,1000000,0,1000000,1941
95,215000000,1000000,0,1000000,1942
96,215000000,1000000,0,1000000,2078
97,215000000,1000000,0,1000000,2082
98,215000000,1000000,0,1000000,2055
99,215000000,1000000,0,1000000,1992
0,220000000,1000000,0,1000000,1873
1,220000000,1000000,0,1000000,1878
2,220000000,1000000,0,1000000,1951
3,220000000,1000000,0,1000000,1875
4,220000000,1000000,0,1000000,1872
5,220000000,1000000,0,1000000,1879
6,220000000,1000000,0,1000000,1878
7,220000000,1000000,0,1000000,1881
8,220000000,1000000,0,1000000,1860
9,220000000,1000000,0,1000000,1883
10,220000000,1000000,0,1000000,1899
11,220000000,1000000,0,1000000,1896
12,220000000,1000000,0,1000000,1923
13,220000000,1000000,0,1000000,1879
14,220000000,1000000,0,1000000,1926
15,220000000,1000000,0,1000000,1952
16,220000000,1000000,0,1000000,1900
17,220000000,1000000,0,1000000,1903
18,220000000,1000000,0,1000000,1933
19,220000000,1000000,0,1000000,1878
20,220000000,1000000,0,1000000,1878
21,220000000,1000000,0,1000000,1874
22,220000000,1000000,0,1000000,1911
23,220000000,1000000,0,1000000,1866
24,220000000,1000000,0,1000000,1873
25,220000000,1000000,0,1000000,1879
26,220000000,1000000,0,1000000,1936
27,220000000,1000000,0,1000000,1872
28,220000000,1000000,0,1000000,1896
29,220000000,1000000,0,1000000,1941
30,220000000,1000000,0,1000000,1880
31,220000000,1000000,0,1000000,1920
32,220000000,1000000,0,1000000,1900
33,220000000,1000000,0,1000000,1885
34,220000000,1000000,0,1000000,1907
35,220000000,1000000,0,1000000,1890
36,220000000,1000000,0,1000000,1889
37,220000000,1000000,0,1000000,1918
38,220000000,1000000,0,1000000,1933
39,220000000,1000000,0,1000000,1942
40,220000000,1000000,0,1000000,1910
41,220000000,1000000,0,1000000,1927
42,220000000,1000000,0,1000000,1900
43,220000000,1000000,0,1000000,1918
44,220000000,1000000,0,1000000,1940
45,220000000,1000000,0,1000000,1922
46,220000000,1000000,0,1000000,1942
