set_freq,meas_freq,success,fail,total,voltage,time
23000000,22249472,10000000,0,10000000,1000,7777
24000000,23642112,10000000,0,10000000,1000,4219
25000000,24592384,10000000,0,10000000,1000,1207
26000000,26329088,10000000,0,10000000,1000,27284
27000000,26886144,10000000,0,10000000,1000,23980
28000000,27410432,10000000,0,10000000,1000,21819
29000000,29474816,10000000,0,10000000,1000,18750
30000000,29900800,10000000,0,10000000,1000,16676
31000000,30621696,10000000,0,10000000,1000,14639
32000000,31244288,10000000,0,10000000,1000,13053
33000000,33619968,10000000,0,10000000,1000,10882
34000000,34996224,10000000,0,10000000,1000,9254
35000000,34406400,10000000,0,10000000,1000,8007
36000000,36634624,10000000,0,10000000,1000,6873
37000000,37421056,10000000,0,10000000,1000,5350
38000000,37519360,10000000,0,10000000,1000,4114
39000000,38371328,10000000,0,10000000,1000,2222
40000000,39682048,10000000,0,10000000,1000,1987
41000000,41877504,10000000,0,10000000,1000,172
42000000,42434560,10000000,0,10000000,1000,28242
43000000,42696704,10000000,0,10000000,1000,26817
44000000,43483136,10000000,0,10000000,1000,25422
45000000,45350912,10000000,0,10000000,1000,25278
46000000,44761088,10000000,0,10000000,1000,24561
47000000,46596096,10000000,0,10000000,1000,22761
48000000,48168960,10000000,0,10000000,1000,22343
49000000,48005120,10000000,0,10000000,1000,21847
50000000,49381376,10000000,0,10000000,1000,20198
51000000,51118080,10000000,0,10000000,1000,20159
52000000,51380224,10000000,0,10000000,1000,19531
53000000,54132736,10000000,0,10000000,1000,18334
54000000,53870592,10000000,0,10000000,1000,17673
55000000,54231040,10000000,0,10000000,1000,17382
56000000,55705600,10000000,0,10000000,1000,16434
57000000,58195968,10000000,0,10000000,1000,15752
58000000,58327040,10000000,0,10000000,1000,14977
59000000,58753024,10000000,0,10000000,1000,14830
60000000,60358656,10000000,0,10000000,1000,14108
61000000,61145088,10000000,0,10000000,1000,13506
62000000,60424192,10000000,0,10000000,1000,13377
63000000,63045632,10000000,0,10000000,1000,12931
64000000,63438848,10000000,0,10000000,1000,12364
65000000,64585728,10000000,0,10000000,1000,11840
66000000,66125824,10000000,0,10000000,1000,11493
67000000,67567616,10000000,0,10000000,1000,10887
68000000,68517888,10000000,0,10000000,1000,10561
69000000,67862528,10000000,0,10000000,1000,10310
70000000,69173248,10000000,0,10000000,1000,10094
71000000,71860224,10000000,0,10000000,1000,9270
72000000,71860224,10000000,0,10000000,1000,9237
73000000,72286208,10000000,0,10000000,1000,8946
74000000,74743808,10000000,0,10000000,1000,8257
75000000,75497472,10000000,0,10000000,1000,8023
76000000,76218368,10000000,0,10000000,1000,7622
77000000,76873728,10000000,0,10000000,1000,7206
78000000,78217216,10000000,0,10000000,1000,6972
79000000,79101952,10000000,0,10000000,1000,6785
80000000,80248832,10000000,0,10000000,1000,6422
81000000,82018304,10000000,0,10000000,1000,6077
82000000,81756160,10000000,0,10000000,1000,6044
83000000,83230720,10000000,0,10000000,1000,5725
84000000,83296256,10000000,0,10000000,1000,5408
85000000,84803584,10000000,0,10000000,1000,5335
86000000,80510976,10000000,0,10000000,1000,5479
87000000,87097344,10000000,0,10000000,1000,3644
88000000,88080384,10000000,0,10000000,1000,3430
89000000,88834048,10000000,0,10000000,1000,3141
90000000,90013696,10000000,0,10000000,1000,2889
91000000,91226112,10000000,0,10000000,1000,2674
92000000,91750400,10000000,0,10000000,1000,2494
93000000,92930048,10000000,0,10000000,1000,2351
94000000,94437376,10000000,0,10000000,1000,1904
95000000,94863360,10000000,0,10000000,1000,1754
96000000,96043008,10000000,0,10000000,1000,1485
97000000,96960512,10000000,0,10000000,1000,1199
98000000,97845248,10000000,0,10000000,1000,1111
99000000,99287040,10000000,0,10000000,1000,1041
100000000,100007936,10000000,0,10000000,1000,666
101000000,100827136,10000000,0,10000000,1000,630
102000000,101646336,10000000,0,10000000,1000,361
103000000,103088128,10000000,0,10000000,1000,122
104000000,104005632,10000000,0,10000000,1000,30584
